Gene	Approved	Suggested.Symbol	cell_type	meta_program	gene_rank	orig_in_10x	suggest_in_10x	Updated_Symbol
SLBP	TRUE	SLBP	Malignant	cell_cycle_g1_s	35	TRUE	TRUE	NA
MCM6	TRUE	MCM6	Malignant	cell_cycle_g1_s	36	TRUE	TRUE	NA
TMEM106C	TRUE	TMEM106C	Malignant	cell_cycle_g1_s	37	TRUE	TRUE	NA
CENPM	TRUE	CENPM	Malignant	cell_cycle_g1_s	38	TRUE	TRUE	NA
MYBL2	TRUE	MYBL2	Malignant	cell_cycle_g1_s	39	TRUE	TRUE	NA
E2F1	TRUE	E2F1	Malignant	cell_cycle_g1_s	40	TRUE	TRUE	NA
USP1	TRUE	USP1	Malignant	cell_cycle_g1_s	41	TRUE	TRUE	NA
DNMT1	TRUE	DNMT1	Malignant	cell_cycle_g1_s	42	TRUE	TRUE	NA
PKMYT1	TRUE	PKMYT1	Malignant	cell_cycle_g1_s	43	TRUE	TRUE	NA
MAD2L1	TRUE	MAD2L1	Malignant	cell_cycle_g1_s	44	TRUE	TRUE	NA
PSMC3IP	TRUE	PSMC3IP	Malignant	cell_cycle_g1_s	45	TRUE	TRUE	NA
CDCA4	TRUE	CDCA4	Malignant	cell_cycle_g1_s	46	TRUE	TRUE	NA
RFC2	TRUE	RFC2	Malignant	cell_cycle_g1_s	47	TRUE	TRUE	NA
CDC45	TRUE	CDC45	Malignant	cell_cycle_g1_s	48	TRUE	TRUE	NA
UHRF1	TRUE	UHRF1	Malignant	cell_cycle_g1_s	49	TRUE	TRUE	NA
MCM2	TRUE	MCM2	Malignant	cell_cycle_g1_s	50	TRUE	TRUE	NA
STMN1	TRUE	STMN1	Malignant	cell_cycle_hmg_rich	1	TRUE	TRUE	NA
TUBA1B	TRUE	TUBA1B	Malignant	cell_cycle_hmg_rich	2	TRUE	TRUE	NA
H2AFZ	FALSE	H2AZ1	Malignant	cell_cycle_hmg_rich	3	TRUE	FALSE	NA
DUT	TRUE	DUT	Malignant	cell_cycle_hmg_rich	4	TRUE	TRUE	NA
TUBB	TRUE	TUBB	Malignant	cell_cycle_hmg_rich	5	TRUE	TRUE	NA
PCNA	TRUE	PCNA	Malignant	cell_cycle_hmg_rich	6	TRUE	TRUE	NA
HMGB2	TRUE	HMGB2	Malignant	cell_cycle_hmg_rich	7	TRUE	TRUE	NA
PCLAF	FALSE	PCLAF	Malignant	cell_cycle_hmg_rich	8	FALSE	TRUE	PCLAF
HMGB1	TRUE	HMGB1	Malignant	cell_cycle_hmg_rich	9	TRUE	TRUE	NA
RANBP1	TRUE	RANBP1	Malignant	cell_cycle_hmg_rich	10	TRUE	TRUE	NA
RAN	TRUE	RAN	Malignant	cell_cycle_hmg_rich	11	TRUE	TRUE	NA
TYMS	TRUE	TYMS	Malignant	cell_cycle_hmg_rich	12	TRUE	TRUE	NA
H2AFV	FALSE	H2AZ2	Malignant	cell_cycle_hmg_rich	13	TRUE	FALSE	NA
SLC25A5	TRUE	SLC25A5	Malignant	cell_cycle_hmg_rich	14	TRUE	TRUE	NA
CKS1B	TRUE	CKS1B	Malignant	cell_cycle_hmg_rich	15	TRUE	TRUE	NA
SNRPG	TRUE	SNRPG	Malignant	cell_cycle_hmg_rich	16	TRUE	TRUE	NA
COX8A	TRUE	COX8A	Malignant	cell_cycle_hmg_rich	17	TRUE	TRUE	NA
HSPE1	TRUE	HSPE1	Malignant	cell_cycle_hmg_rich	18	TRUE	TRUE	NA
SNRPB	TRUE	SNRPB	Malignant	cell_cycle_hmg_rich	19	TRUE	TRUE	NA
ANAPC11	TRUE	ANAPC11	Malignant	cell_cycle_hmg_rich	20	TRUE	TRUE	NA
SLIRP	TRUE	SLIRP	Malignant	cell_cycle_hmg_rich	21	TRUE	TRUE	NA
HMGN1	TRUE	HMGN1	Malignant	cell_cycle_hmg_rich	22	TRUE	TRUE	NA
NAA38	TRUE	NAA38	Malignant	cell_cycle_hmg_rich	23	TRUE	TRUE	NA
SNRPD1	TRUE	SNRPD1	Malignant	cell_cycle_hmg_rich	24	TRUE	TRUE	NA
SNRPE	TRUE	SNRPE	Malignant	cell_cycle_hmg_rich	25	TRUE	TRUE	NA
ATP5MC3	FALSE	ATP5MC3	Malignant	cell_cycle_hmg_rich	26	FALSE	TRUE	ATP5MC3
HIST1H4C	FALSE	H4C3	Malignant	cell_cycle_hmg_rich	27	TRUE	FALSE	NA
HSPD1	TRUE	HSPD1	Malignant	cell_cycle_hmg_rich	28	TRUE	TRUE	NA
NME1	TRUE	NME1	Malignant	cell_cycle_hmg_rich	29	TRUE	TRUE	NA
TK1	TRUE	TK1	Malignant	cell_cycle_hmg_rich	30	TRUE	TRUE	NA
HMGN2	TRUE	HMGN2	Malignant	cell_cycle_hmg_rich	31	TRUE	TRUE	NA
MIF	TRUE	MIF	Malignant	cell_cycle_hmg_rich	32	TRUE	TRUE	NA
SNRPF	TRUE	SNRPF	Malignant	cell_cycle_hmg_rich	33	TRUE	TRUE	NA
ATP5MC1	FALSE	ATP5MC1	Malignant	cell_cycle_hmg_rich	34	FALSE	TRUE	ATP5MC1
TPI1	TRUE	TPI1	Malignant	cell_cycle_hmg_rich	35	TRUE	TRUE	NA
COX5A	TRUE	COX5A	Malignant	cell_cycle_hmg_rich	36	TRUE	TRUE	NA
ERH	TRUE	ERH	Malignant	cell_cycle_hmg_rich	37	TRUE	TRUE	NA
HMGA1	TRUE	HMGA1	Malignant	cell_cycle_hmg_rich	38	TRUE	TRUE	NA
HNRNPA2B1	TRUE	HNRNPA2B1	Malignant	cell_cycle_hmg_rich	39	TRUE	TRUE	NA
MCM7	TRUE	MCM7	Malignant	cell_cycle_hmg_rich	40	TRUE	TRUE	NA
NUCB2	TRUE	NUCB2	Malignant	cell_cycle_hmg_rich	41	TRUE	TRUE	NA
SIVA1	TRUE	SIVA1	Malignant	cell_cycle_hmg_rich	42	TRUE	TRUE	NA
SRSF7	TRUE	SRSF7	Malignant	cell_cycle_hmg_rich	43	TRUE	TRUE	NA
YBX1	TRUE	YBX1	Malignant	cell_cycle_hmg_rich	44	TRUE	TRUE	NA
LSM4	TRUE	LSM4	Malignant	cell_cycle_hmg_rich	45	TRUE	TRUE	NA
ANP32B	TRUE	ANP32B	Malignant	cell_cycle_hmg_rich	46	TRUE	TRUE	NA
UQCRQ	TRUE	UQCRQ	Malignant	cell_cycle_hmg_rich	47	TRUE	TRUE	NA
HSPB11	TRUE	HSPB11	Malignant	cell_cycle_hmg_rich	48	TRUE	TRUE	NA
SUMO2	TRUE	SUMO2	Malignant	cell_cycle_hmg_rich	49	TRUE	TRUE	NA
SNRPD3	TRUE	SNRPD3	Malignant	cell_cycle_hmg_rich	50	TRUE	TRUE	NA
MT-ND6	TRUE	MT-ND6	Malignant	chromatin	1	TRUE	TRUE	NA
DST	TRUE	DST	Malignant	chromatin	2	TRUE	TRUE	NA
SMARCA5	TRUE	SMARCA5	Malignant	chromatin	3	TRUE	TRUE	NA
SPEN	TRUE	SPEN	Malignant	chromatin	4	TRUE	TRUE	NA
PCM1	TRUE	PCM1	Malignant	chromatin	5	TRUE	TRUE	NA
GOLGA4	TRUE	GOLGA4	Malignant	chromatin	6	TRUE	TRUE	NA
GOLGB1	TRUE	GOLGB1	Malignant	chromatin	7	TRUE	TRUE	NA
KCNQ1OT1	TRUE	KCNQ1OT1	Malignant	chromatin	8	TRUE	TRUE	NA
PHF3	TRUE	PHF3	Malignant	chromatin	9	TRUE	TRUE	NA
PTPN11	TRUE	PTPN11	Malignant	chromatin	10	TRUE	TRUE	NA
TRIM44	TRUE	TRIM44	Malignant	chromatin	11	TRUE	TRUE	NA
ZNF638	TRUE	ZNF638	Malignant	chromatin	12	TRUE	TRUE	NA
CEP350	TRUE	CEP350	Malignant	chromatin	13	TRUE	TRUE	NA
GOLIM4	TRUE	GOLIM4	Malignant	chromatin	14	TRUE	TRUE	NA
HIST1H1E	FALSE	H1-4	Malignant	chromatin	15	TRUE	FALSE	NA
MSH6	TRUE	MSH6	Malignant	chromatin	16	TRUE	TRUE	NA
ROCK2	TRUE	ROCK2	Malignant	chromatin	17	TRUE	TRUE	NA
SMC1A	TRUE	SMC1A	Malignant	chromatin	18	TRUE	TRUE	NA
SMCHD1	TRUE	SMCHD1	Malignant	chromatin	19	TRUE	TRUE	NA
ASH1L	TRUE	ASH1L	Malignant	chromatin	20	TRUE	TRUE	NA
ATAD2	TRUE	ATAD2	Malignant	chromatin	21	TRUE	TRUE	NA
ATAD5	TRUE	ATAD5	Malignant	chromatin	22	TRUE	TRUE	NA
BAZ1B	TRUE	BAZ1B	Malignant	chromatin	23	TRUE	TRUE	NA
NOP14	TRUE	NOP14	Malignant	chromatin	24	TRUE	TRUE	NA
RIF1	TRUE	RIF1	Malignant	chromatin	25	TRUE	TRUE	NA
SYNE2	TRUE	SYNE2	Malignant	chromatin	26	TRUE	TRUE	NA
TJP1	TRUE	TJP1	Malignant	chromatin	27	TRUE	TRUE	NA
TRIP11	TRUE	TRIP11	Malignant	chromatin	28	TRUE	TRUE	NA
ENAH	TRUE	ENAH	Malignant	chromatin	29	TRUE	TRUE	NA
HIST1H1C	FALSE	H1-2	Malignant	chromatin	30	TRUE	FALSE	NA
HIST2H2AC	FALSE	H2AC20	Malignant	chromatin	31	TRUE	FALSE	NA
NRDC	FALSE	NRDC	Malignant	chromatin	32	FALSE	TRUE	NRDC
RANBP2	TRUE	RANBP2	Malignant	chromatin	33	TRUE	TRUE	NA
SMC5	TRUE	SMC5	Malignant	chromatin	34	TRUE	TRUE	NA
ARGLU1	TRUE	ARGLU1	Malignant	chromatin	35	TRUE	TRUE	NA
BDP1	TRUE	BDP1	Malignant	chromatin	36	TRUE	TRUE	NA
SETD2	TRUE	SETD2	Malignant	chromatin	37	TRUE	TRUE	NA
SLK	TRUE	SLK	Malignant	chromatin	38	TRUE	TRUE	NA
SPAG9	TRUE	SPAG9	Malignant	chromatin	39	TRUE	TRUE	NA
SUZ12	TRUE	SUZ12	Malignant	chromatin	40	TRUE	TRUE	NA
AHCTF1	TRUE	AHCTF1	Malignant	chromatin	41	TRUE	TRUE	NA
CLINT1	TRUE	CLINT1	Malignant	chromatin	42	TRUE	TRUE	NA
FAM208B	FALSE	TASOR2	Malignant	chromatin	43	TRUE	FALSE	NA
KMT2A	TRUE	KMT2A	Malignant	chromatin	44	TRUE	TRUE	NA
MACF1	TRUE	MACF1	Malignant	chromatin	45	TRUE	TRUE	NA
PAXBP1	TRUE	PAXBP1	Malignant	chromatin	46	TRUE	TRUE	NA
HIST1H1B	FALSE	H1-5	Malignant	chromatin	47	TRUE	FALSE	NA
UACA	TRUE	UACA	Malignant	chromatin	48	TRUE	TRUE	NA
SENP6	TRUE	SENP6	Malignant	chromatin	49	TRUE	TRUE	NA
ZMYM4	TRUE	ZMYM4	Malignant	chromatin	50	TRUE	TRUE	NA
ATF3	TRUE	ATF3	Malignant	stress	1	TRUE	TRUE	NA
EGR1	TRUE	EGR1	Malignant	stress	2	TRUE	TRUE	NA
FOS	TRUE	FOS	Malignant	stress	3	TRUE	TRUE	NA
PPP1R15A	TRUE	PPP1R15A	Malignant	stress	4	TRUE	TRUE	NA
JUN	TRUE	JUN	Malignant	stress	5	TRUE	TRUE	NA
DUSP1	TRUE	DUSP1	Malignant	stress	6	TRUE	TRUE	NA
JUNB	TRUE	JUNB	Malignant	stress	7	TRUE	TRUE	NA
FOSB	TRUE	FOSB	Malignant	stress	8	TRUE	TRUE	NA
IER2	TRUE	IER2	Malignant	stress	9	TRUE	TRUE	NA
GADD45B	TRUE	GADD45B	Malignant	stress	10	TRUE	TRUE	NA
BTG2	TRUE	BTG2	Malignant	stress	11	TRUE	TRUE	NA
ZFP36	TRUE	ZFP36	Malignant	stress	12	TRUE	TRUE	NA
DNAJB1	TRUE	DNAJB1	Malignant	stress	13	TRUE	TRUE	NA
NR4A1	TRUE	NR4A1	Malignant	stress	14	TRUE	TRUE	NA
SERTAD1	TRUE	SERTAD1	Malignant	stress	15	TRUE	TRUE	NA
DDIT3	TRUE	DDIT3	Malignant	stress	16	TRUE	TRUE	NA
KLF6	TRUE	KLF6	Malignant	stress	17	TRUE	TRUE	NA
NFKBIA	TRUE	NFKBIA	Malignant	stress	18	TRUE	TRUE	NA
HSPA1A	TRUE	HSPA1A	Malignant	stress	19	TRUE	TRUE	NA
HSPA1B	TRUE	HSPA1B	Malignant	stress	20	TRUE	TRUE	NA
CYR61	FALSE	CCN1	Malignant	stress	21	TRUE	FALSE	NA
MAFF	TRUE	MAFF	Malignant	stress	22	TRUE	TRUE	NA
NFKBIZ	TRUE	NFKBIZ	Malignant	stress	23	TRUE	TRUE	NA
IER3	TRUE	IER3	Malignant	stress	24	TRUE	TRUE	NA
CCNL1	TRUE	CCNL1	Malignant	stress	25	TRUE	TRUE	NA
MCL1	TRUE	MCL1	Malignant	stress	26	TRUE	TRUE	NA
RHOB	TRUE	RHOB	Malignant	stress	27	TRUE	TRUE	NA
SOCS3	TRUE	SOCS3	Malignant	stress	28	TRUE	TRUE	NA
IRF1	TRUE	IRF1	Malignant	stress	29	TRUE	TRUE	NA
CDKN1A	TRUE	CDKN1A	Malignant	stress	30	TRUE	TRUE	NA
HES1	TRUE	HES1	Malignant	stress	31	TRUE	TRUE	NA
ID2	TRUE	ID2	Malignant	stress	32	TRUE	TRUE	NA
KLF4	TRUE	KLF4	Malignant	stress	33	TRUE	TRUE	NA
KLF10	TRUE	KLF10	Malignant	stress	34	TRUE	TRUE	NA
CXCL2	TRUE	CXCL2	Malignant	stress	35	TRUE	TRUE	NA
ID1	TRUE	ID1	Malignant	stress	36	TRUE	TRUE	NA
TOB1	TRUE	TOB1	Malignant	stress	37	TRUE	TRUE	NA
TRIB1	TRUE	TRIB1	Malignant	stress	38	TRUE	TRUE	NA
HSPH1	TRUE	HSPH1	Malignant	stress	39	TRUE	TRUE	NA
RASD1	TRUE	RASD1	Malignant	stress	40	TRUE	TRUE	NA
SAT1	TRUE	SAT1	Malignant	stress	41	TRUE	TRUE	NA
DDIT4	TRUE	DDIT4	Malignant	stress	42	TRUE	TRUE	NA
EGR2	TRUE	EGR2	Malignant	stress	43	TRUE	TRUE	NA
HERPUD1	TRUE	HERPUD1	Malignant	stress	44	TRUE	TRUE	NA
PLK2	TRUE	PLK2	Malignant	stress	45	TRUE	TRUE	NA
DNAJA1	TRUE	DNAJA1	Malignant	stress	46	TRUE	TRUE	NA
HSPA6	TRUE	HSPA6	Malignant	stress	47	TRUE	TRUE	NA
PMAIP1	TRUE	PMAIP1	Malignant	stress	48	TRUE	TRUE	NA
CITED2	TRUE	CITED2	Malignant	stress	49	TRUE	TRUE	NA
ID3	TRUE	ID3	Malignant	stress	50	TRUE	TRUE	NA
NDRG1	TRUE	NDRG1	Malignant	hypoxia	1	TRUE	TRUE	NA
BNIP3	TRUE	BNIP3	Malignant	hypoxia	2	TRUE	TRUE	NA
SLC2A1	TRUE	SLC2A1	Malignant	hypoxia	3	TRUE	TRUE	NA
P4HA1	TRUE	P4HA1	Malignant	hypoxia	4	TRUE	TRUE	NA
VEGFA	TRUE	VEGFA	Malignant	hypoxia	5	TRUE	TRUE	NA
ENO2	TRUE	ENO2	Malignant	hypoxia	6	TRUE	TRUE	NA
ADM	TRUE	ADM	Malignant	hypoxia	7	TRUE	TRUE	NA
HILPDA	TRUE	HILPDA	Malignant	hypoxia	8	TRUE	TRUE	NA
PGK1	TRUE	PGK1	Malignant	hypoxia	9	TRUE	TRUE	NA
BNIP3L	TRUE	BNIP3L	Malignant	hypoxia	10	TRUE	TRUE	NA
FAM162A	TRUE	FAM162A	Malignant	hypoxia	11	TRUE	TRUE	NA
PLOD2	TRUE	PLOD2	Malignant	hypoxia	12	TRUE	TRUE	NA
EGLN3	TRUE	EGLN3	Malignant	hypoxia	13	TRUE	TRUE	NA
LDHA	TRUE	LDHA	Malignant	hypoxia	14	TRUE	TRUE	NA
MT1X	TRUE	MT1X	Malignant	hypoxia	15	TRUE	TRUE	NA
NRN1	TRUE	NRN1	Malignant	hypoxia	16	TRUE	TRUE	NA
DDIT4	TRUE	DDIT4	Malignant	hypoxia	17	TRUE	TRUE	NA
DDIT3	TRUE	DDIT3	Malignant	hypoxia	18	TRUE	TRUE	NA
ERO1A	TRUE	ERO1A	Malignant	hypoxia	19	TRUE	TRUE	NA
ANGPTL4	TRUE	ANGPTL4	Malignant	hypoxia	20	TRUE	TRUE	NA
IGFBP3	TRUE	IGFBP3	Malignant	hypoxia	21	TRUE	TRUE	NA
PFKP	TRUE	PFKP	Malignant	hypoxia	22	TRUE	TRUE	NA
INSIG2	TRUE	INSIG2	Malignant	hypoxia	23	TRUE	TRUE	NA
NDUFA4L2	TRUE	NDUFA4L2	Malignant	hypoxia	24	TRUE	TRUE	NA
PDK1	TRUE	PDK1	Malignant	hypoxia	25	TRUE	TRUE	NA
CA9	TRUE	CA9	Malignant	hypoxia	26	TRUE	TRUE	NA
AKAP12	TRUE	AKAP12	Malignant	hypoxia	27	TRUE	TRUE	NA
C4orf3	FALSE	C4orf3	Malignant	hypoxia	28	FALSE	TRUE	C4orf3
IGFBP5	TRUE	IGFBP5	Malignant	hypoxia	29	TRUE	TRUE	NA
GBE1	TRUE	GBE1	Malignant	hypoxia	30	TRUE	TRUE	NA
LGALS3	TRUE	LGALS3	Malignant	hypoxia	31	TRUE	TRUE	NA
TMEM45A	TRUE	TMEM45A	Malignant	hypoxia	32	TRUE	TRUE	NA
WSB1	TRUE	WSB1	Malignant	hypoxia	33	TRUE	TRUE	NA
GPI	TRUE	GPI	Malignant	hypoxia	34	TRUE	TRUE	NA
S100A10	TRUE	S100A10	Malignant	hypoxia	35	TRUE	TRUE	NA
SLC16A3	TRUE	SLC16A3	Malignant	hypoxia	36	TRUE	TRUE	NA
EPB41L4A-AS1	TRUE	EPB41L4A-AS1	Malignant	hypoxia	37	TRUE	TRUE	NA
ALDOA	TRUE	ALDOA	Malignant	hypoxia	38	TRUE	TRUE	NA
ANKRD37	TRUE	ANKRD37	Malignant	hypoxia	39	TRUE	TRUE	NA
CAV1	TRUE	CAV1	Malignant	hypoxia	40	TRUE	TRUE	NA
AK4	TRUE	AK4	Malignant	hypoxia	41	TRUE	TRUE	NA
DNAJB9	TRUE	DNAJB9	Malignant	hypoxia	42	TRUE	TRUE	NA
ERRFI1	TRUE	ERRFI1	Malignant	hypoxia	43	TRUE	TRUE	NA
MT2A	TRUE	MT2A	Malignant	hypoxia	44	TRUE	TRUE	NA
SLC3A2	TRUE	SLC3A2	Malignant	hypoxia	45	TRUE	TRUE	NA
VIM	TRUE	VIM	Malignant	hypoxia	46	TRUE	TRUE	NA
ENO1	TRUE	ENO1	Malignant	hypoxia	47	TRUE	TRUE	NA
PFKFB3	TRUE	PFKFB3	Malignant	hypoxia	48	TRUE	TRUE	NA
HK2	TRUE	HK2	Malignant	hypoxia	49	TRUE	TRUE	NA
CA12	TRUE	CA12	Malignant	hypoxia	50	TRUE	TRUE	NA
DDIT3	TRUE	DDIT3	Malignant	stress_in_vitro	1	TRUE	TRUE	NA
SLC3A2	TRUE	SLC3A2	Malignant	stress_in_vitro	2	TRUE	TRUE	NA
TRIB3	TRUE	TRIB3	Malignant	stress_in_vitro	3	TRUE	TRUE	NA
ASNS	TRUE	ASNS	Malignant	stress_in_vitro	4	TRUE	TRUE	NA
HERPUD1	TRUE	HERPUD1	Malignant	stress_in_vitro	5	TRUE	TRUE	NA
PPP1R15A	TRUE	PPP1R15A	Malignant	stress_in_vitro	6	TRUE	TRUE	NA
